1.央视,#genre#
CCTV1综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV1综合,http://39.135.138.59:18890/TVOD/88888910/224/3221225630/index.m3u8?$移动高清720P
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8?$移动超清1080P
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV2财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2财经,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225643/index.m3u8?$移动蓝光1080P
CCTV2财经,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV2财经,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV3综艺,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV3综艺,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3综艺,http://117.169.121.162:6610/PLTV/88888910/224/3221225647/index.m3u8
CCTV3综艺,http://39.134.115.163:8080/TVOD/88888910/224/3221225647/index.m3u8
CCTV3综艺,http://39.134.115.163:8080/TVOD/88888910/224/3221225634/index.m3u8
CCTV3综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8?blog.ntnas.top
CCTV3综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV3综艺,http://39.135.138.58:18890/PLTV/88888888/224/3221225647/index.m3u8
CCTV4中文国际,http://bp-caster.bestv.com.cn/493/1/video.m3u8
CCTV4中文国际,http://bp-caster.bestv.com.cn/513/1/video.m3u8
CCTV4中文国际,http://bp-caster.bestv.com.cn/356/1/video.m3u8
CCTV4中文国际,http://39.135.138.59:18890/PLTV/88888910/224/3221225736/index.m3u8?fmt=ts2hls
CCTV4中文国际,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4中文国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8?$移动蓝光1080P
CCTV4中文国际,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
CCTV4中文国际,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225970/index.m3u8
CCTV4中文国际,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4中文国际,http://39.134.115.163:8080/TVOD/88888910/224/3221225621/index.m3u8
CCTV4中文国际美洲,http://vcdn1.vtc.gov.vn:1935/m_4k/smil:4k.smil/playlist.m3u8
CCTV4中文国际 (1080p),http://39.135.138.59:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225633/index.m3u8
CCTV5体育,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5体育,http://bp-caster.bestv.com.cn/561/1/video.m3u8
CCTV5体育,http://bp-caster.bestv.com.cn/492/1/video.m3u8
CCTV5体育,http://hls.cntv.myhwcdn.cn/asp/hls/850/0303000a/3/default/c481b5826ffc4e99a92e01704c862dbc/850.m3u8
CCTV5体育,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
CCTV5体育,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
CCTV5体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5体育,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000064
CCTV5体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225974/index.m3u8
CCTV5体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226219/index.m3u8
CCTV5体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226194/index.m3u8?fmt=ts2hls
CCTV5体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226197/index.m3u8?fmt=ts2hls
CCTV5体育,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls
CCTV5体育,http://39.135.138.59:18890/PLTV/88888888/224/3221225767/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225751/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225752/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225753/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225754/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225755/index.m3u8
CCTV5体育,http://39.135.138.58:18890/PLTV/88888888/224/3221225756/index.m3u8
CCTV5+体育赛事,http://39.135.138.58:18890/PLTV/88888888/224/3221225649/index.m3u8
CCTV5+体育赛事,http://39.135.138.58:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV5+体育赛事,http://39.135.138.60:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+体育赛事,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000246
CCTV5+体育赛事,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+体育赛事,https://hls.cntv.lxdns.com/asp/hls/2000/0303000a/3/default/f0a47e155d32450daa1d36a04fd7d262/2000.m3u8
CCTV5+体育赛事,http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV5+体育赛事,http://117.169.121.162:6610/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+体育赛事,http://39.135.138.59:18890/PLTV/88888888/224/3221225706/index.m3u8
CCTV5+体育赛事,http://39.135.138.59:18890/TVOD/88888910/224/3221225706/index.m3u8
