YouTube,#genre#
市井豪门1,https://ymd.dlod.link/?u=https%3A%2F%2Fredirector.googlevideo.com%2Fvideoplayback%3Fexpire%3D1686043709%26ei%3D3ad-ZPDzNt6LsfIPku2-8AE%26ip%3D209.141.44.95%26id%3Do-AOrd4D6jEiqZtRqoLcIOkNcRMhEl9QtpkqnjCpGSV8ks%26itag%3D22%26source%3Dyoutube%26requiressl%3Dyes%26mh%3D2H%26mm%3D31%252C26%26mn%3Dsn-a5msener%252Csn-5uaeznld%26ms%3Dau%252Conr%26mv%3Dm%26mvi%3D5%26pl%3D22%26gcr%3Dus%26initcwndbps%3D122500%26spc%3DqEK7By4nolcOMTH6TKd6syNLcdQ5H2hW_DpEnH77DrYs0nD3VqgH09E%26vprv%3D1%26svpuc%3D1%26mime%3Dvideo%252Fmp4%26ns%3D4XGM93NcYhBbHSnJh6XFSaMN%26cnr%3D14%26ratebypass%3Dyes%26dur%3D5894.826%26lmt%3D1685966393371654%26mt%3D1686021654%26fvip%3D2%26fexp%3D24007246%252C24362688%252C24363393%252C51000029%26beids%3D24350017%26c%3DWEB%26txp%3D3318224%26n%3DbnGzv-mL0cFTEw%26sparams%3Dexpire%252Cei%252Cip%252Cid%252Citag%252Csource%252Crequiressl%252Cgcr%252Cspc%252Cvprv%252Csvpuc%252Cmime%252Cns%252Ccnr%252Cratebypass%252Cdur%252Clmt%26sig%3DAOq0QJ8wRQIhALvNptLQ5yaT4tBkXXwOIQAplbP4z6aJLagGimTX7ZLfAiA_fwKhp1pVTWaeJRkZ1GxtyByUgMsscLKdWsWS5gOz4g%253D%253D%26lsparams%3Dmh%252Cmm%252Cmn%252Cms%252Cmv%252Cmvi%252Cpl%252Cinitcwndbps%26lsig%3DAG3C_xAwRQIhAJbcm0Uf64FR7sDSbWM9AXS_aq3Wwkmc5GipjT9GHJLBAiAB41OkRxXdDoif4bPhYkh7jpiOfdJcy1Va9NW2gOtBGw%253D%253D%26range%3D0-&p=r2vaaO1PM5XyRx7GjhbpADGq9FRU73RwAPIO0u5m_tRfhEcnh7nKOVd2tcs8v22X49VsBP3-U0SNurR-_xKhg0SfQpLgG109awp1Y36UPV6CCa06Tgm4zPaeinIkojQx&s=al8l6BUWuflwx8oHw0ttx4FWAmYvV_PyO7_lFk_xW3U
市井豪门2,https://ymd.dlod.link/?u=https%3A%2F%2Fredirector.googlevideo.com%2Fvideoplayback%3Fexpire%3D1686049276%26ei%3DnL1-ZKfZA4-ZsfIP-seL0AY%26ip%3D209.141.44.95%26id%3Do-AJlYm9nmg2IIVCmuYN6HubzSs-0jla3s6QqtyZJN-y62%26itag%3D22%26source%3Dyoutube%26requiressl%3Dyes%26mh%3Dhq%26mm%3D31%252C26%26mn%3Dsn-a5mekn6d%252Csn-5ualdnsl%26ms%3Dau%252Conr%26mv%3Dm%26mvi%3D1%26pl%3D22%26gcr%3Dus%26initcwndbps%3D148750%26spc%3DqEK7B1DsnIvL3YQhBn_vJjvY8S-uCnuLdn9iMW9f8c_Q54OV5NE5IQc%26vprv%3D1%26svpuc%3D1%26mime%3Dvideo%252Fmp4%26ns%3D-K5dy55_Ed85NZDBRJ1Y7PwN%26cnr%3D14%26ratebypass%3Dyes%26dur%3D5844.973%26lmt%3D1685673691808488%26mt%3D1686027169%26fvip%3D4%26fexp%3D24007246%252C24362688%252C24363393%252C51000011%252C51000029%26c%3DWEB%26txp%3D5532434%26n%3D8tZijbjmVqd5kg%26sparams%3Dexpire%252Cei%252Cip%252Cid%252Citag%252Csource%252Crequiressl%252Cgcr%252Cspc%252Cvprv%252Csvpuc%252Cmime%252Cns%252Ccnr%252Cratebypass%252Cdur%252Clmt%26sig%3DAOq0QJ8wRgIhAPtEBxTn_YmfZyRJMYXgL-QjmUQAtN1ISGuNjExKddQZAiEAhAumwhFE_HYhF75bNSltj83Vr6b_qCI7ohEiA4DzNBs%253D%26lsparams%3Dmh%252Cmm%252Cmn%252Cms%252Cmv%252Cmvi%252Cpl%252Cinitcwndbps%26lsig%3DAG3C_xAwRAIgCdEuWmY4kWaC3ztqDaKjk1QCPPx1SJ7Q-yDFlJr2lToCIHWxJRLxg8YciWrc6EFFGD50CAs3WO-uh-zVTI15kYrs%26range%3D0-&p=3bkEGhzyY_hw2kFrCDUIHkbFnReuO89pMmyPb3YU6R_WTMYIgXQGNfv_EQ70ug1h-xD9PxpfMDtmzpk_FQcvKcmjRgP5PRLp2rP0Ug8d14k4_piBQlf6kVK9J_Gbtgdk&s=LvzJiCb3E8kTZbB9JbiO9gSLAZuCsakeltDNw6HYmms
TVBS新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立新聞,https://www.youtube.com/watch?v=2mCSYvcfhtc
三立財經,https://www.youtube.com/watch?v=CKjSm5ZeehE
東森新聞,https://www.youtube.com/watch?v=R2iMq5LKXco
EBC東森財經,https://www.youtube.com/watch?v=WHEPzbFA3hw
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
