MTV点歌67,#genre#
GALA-北戴河之歌,http://em.21dtv.com/songs/60069246.mkv
卓依婷-宝岛好男儿,http://em.21dtv.com/songs/60010009.mkv
陈奕迅-贝多芬与我,http://em.21dtv.com/songs/60010236.mkv
伍佰-不懂得幸福,http://em.21dtv.com/songs/60011051.mkv
郑琇月-变调的探戈(无原唱),http://em.21dtv.com/songs/60010514.mkv
周华健-摆渡的岁月,http://em.21dtv.com/songs/60009805.mkv
佚名-冰冻的女人(无原唱),http://em.21dtv.com/songs/60010819.mkv
佚名-半点东方心,http://em.21dtv.com/songs/60009854.mkv
佚名-宝岛的法船(无原唱),http://em.21dtv.com/songs/60010008.mkv
SARA-不得不在乎,http://em.21dtv.com/songs/60011036.mkv
林俊杰-背对背拥抱,http://em.21dtv.com/songs/60088091.mkv
张越-不得不想你,http://em.21dtv.com/songs/60086466.mkv
杜留香-不得不习惯,http://em.21dtv.com/songs/60116929.mkv
杨烨-不得不分开,http://em.21dtv.com/songs/60125759.mkv
袁弘-背对背沉默,http://em.21dtv.com/songs/60110507.mkv
张启靓-不懂爱的猪,http://em.21dtv.com/songs/60011050.mkv
佚名-不懂爱的人,http://em.21dtv.com/songs/60011049.mkv
潘美辰-不懂爱的人,http://em.21dtv.com/songs/60011048.mkv
陆锋-不懂爱的人,http://em.21dtv.com/songs/60011047.mkv
阿悄+乔任梁-不存在的你,http://em.21dtv.com/songs/60118127.mkv
GIRLS ALOUD-beautiful cause you love me,http://em.21dtv.com/songs/60072937.mkv
石雪峰-不曾忘记你,http://em.21dtv.com/songs/60125979.mkv
安宇-不曾忘记你,http://em.21dtv.com/songs/60074804.mkv
蒋婴-不曾说分手,http://em.21dtv.com/songs/60123127.mkv
望海高歌-不曾说分手,http://em.21dtv.com/songs/60117790.mkv
罗时丰-不曾说爱你,http://em.21dtv.com/songs/60095852.mkv
张睿恩-比从前快乐,http://em.21dtv.com/songs/60010372.mkv
樱子-本草女人香,http://em.21dtv.com/songs/60066865.mkv
沈建宏-半成年告白,http://em.21dtv.com/songs/60009851.mkv
王心凌-变成陌生人,http://em.21dtv.com/songs/60070533.mkv
佚名-baby can i hold you,http://em.21dtv.com/songs/60000385.mkv
BOYZONE-baby can i hold you,http://em.21dtv.com/songs/60000384.mkv
李千娜-不曾回来过,http://em.21dtv.com/songs/60135355.mkv
刘和刚-班长告诉我,http://em.21dtv.com/songs/60074608.mkv
伊雪莉-不穿高跟鞋,http://em.21dtv.com/songs/60011029.mkv
SNH48-彼此的未来,http://em.21dtv.com/songs/60133284.mkv
安又琪-悲催的姐妹,http://em.21dtv.com/songs/60074636.mkv
伍佰-不曾在乎我(演唱会),http://em.21dtv.com/songs/60011022.mkv
雀斑Freckles+Leo王-不标准情人,http://em.21dtv.com/songs/60135960.mkv
韩晓辉-爸爸在哪里,http://em.21dtv.com/songs/60135984.mkv
司空雷-爸爸在哪儿,http://em.21dtv.com/songs/60104870.mkv
杺缘-宝宝摇篮曲,http://em.21dtv.com/songs/60099339.mkv
520女子演唱组-baby不要离开,http://em.21dtv.com/songs/60000416.mkv
何耀珊-八八一寂寞,http://em.21dtv.com/songs/60009454.mkv
张含韵+张航睿-北鼻与底儿,http://em.21dtv.com/songs/60010153.mkv
杨廷廷-宝贝呀宝贝,http://em.21dtv.com/songs/60069242.mkv
邓小龙-宝贝呀宝贝,http://em.21dtv.com/songs/60066855.mkv
自明-宝贝想你啦,http://em.21dtv.com/songs/60010003.mkv
徐清波-宝宝心里苦,http://em.21dtv.com/songs/60126915.mkv
路绮欧-宝贝心好痛,http://em.21dtv.com/songs/60010005.mkv
上明-博杯问天意,http://em.21dtv.com/songs/60104761.mkv
贾富营-别把我看透,http://em.21dtv.com/songs/60131831.mkv
