影视列表,#genre#
HBO,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941648&extension=ts
HBO Hits,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941647&extension=ts
HBO Family,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941646&extension=ts
HBO Signature,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941645&extension=ts
Cinemax,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941659&extension=ts
卫视电影台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941625&extension=ts
卫视中文台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941624&extension=ts
天映电影,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941618&extension=ts
天映经典,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941639&extension=ts
HUB都会,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941632&extension=ts
HUB娱家,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941634&extension=ts
Channel 5,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941615&extension=ts
Channel 8,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941616&extension=ts
Channel U,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941617&extension=ts
国家地理频道,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941665&extension=ts
国家地理野生频道,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941664&extension=ts
BBCEarth,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941667&extension=ts
BBCLifestyle,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941668&extension=ts
History,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941661&extension=ts
AXN,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941660&extension=ts
WarnerTV,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941652&extension=ts
CI,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941666&extension=ts
Lifetime,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941669&extension=ts
Paramount Network HD,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941654&extension=ts
ROCK ENTERTAINMENT,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941643&extension=ts
TravelXP,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941662&extension=ts
HITS,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941578&extension=ts
HITS MOVIES,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=941577&extension=ts
